layer,norm,cohens_d_test,acc_test
1,0.08110262453556061,0.13562320172786713,0.5
2,0.09131954610347748,0.14093682169914246,0.5
3,0.10601819306612015,0.19583454728126526,0.5185185185185185
4,0.12965534627437592,0.228646382689476,0.5185185185185185
5,0.15421825647354126,0.2756044566631317,0.5185185185185185
6,0.17869281768798828,0.2465059906244278,0.5370370370370371
7,0.21563054621219635,0.29241088032722473,0.5555555555555556
8,0.33232566714286804,0.2174268364906311,0.5185185185185185
9,0.509044885635376,0.4629075527191162,0.5555555555555556
10,0.4993476867675781,0.492588609457016,0.5370370370370371
11,0.5303840637207031,0.5620525479316711,0.5925925925925926
12,0.6363785862922668,0.2779574394226074,0.5370370370370371
13,0.5793392062187195,0.3385030925273895,0.5555555555555556
14,0.5363875031471252,0.35125207901000977,0.5740740740740741
15,0.5042709708213806,0.4392569363117218,0.5555555555555556
16,0.5397400856018066,0.5706685185432434,0.5740740740740741
17,0.7207376956939697,0.64210444688797,0.6111111111111112
18,0.7653586864471436,0.7315493822097778,0.5925925925925926
19,0.7875475883483887,0.6247796416282654,0.5925925925925926
20,0.7714563012123108,0.653762936592102,0.5925925925925926
21,0.837715744972229,0.726477861404419,0.6666666666666666
22,1.1619428396224976,1.0956138372421265,0.7407407407407407
23,1.6278913021087646,1.0901509523391724,0.6851851851851852
24,2.3668110370635986,1.0336192846298218,0.5925925925925926
25,4.534533977508545,1.7516554594039917,0.7962962962962963
26,5.583454608917236,1.841380000114441,0.8518518518518519
27,9.124284744262695,2.2728219032287598,0.8888888888888888
28,11.779134750366211,2.083885669708252,0.8703703703703703
29,14.763336181640625,2.1655735969543457,0.8518518518518519
30,17.515958786010742,2.2265923023223877,0.8703703703703703
31,23.129968643188477,2.040184497833252,0.8518518518518519
32,29.02794075012207,2.768656015396118,0.8888888888888888
33,31.044395446777344,2.7660207748413086,0.9074074074074074
34,31.25502586364746,2.9087483882904053,0.8888888888888888
35,32.02402114868164,2.734142303466797,0.9259259259259259
36,11.978780746459961,2.611616611480713,0.9074074074074074
