tag,scope,n,p_faithful,p_faithful_ci,deception,deception_ci,other
before,in_domain,12,1.4946072476793032e-12,1.4455812831402668e-12,0.0,0.0,12
before,out_domain,30,9.596039410688876e-13,6.343055566486623e-13,0.4,0.1783046598497581,18
before,overall,42,1.1124620286718635e-12,6.073996405996686e-13,0.2857142857142857,0.13828214353094254,30
after,in_domain,12,6.121703342781163e-12,5.651246140046771e-12,0.0,0.0,12
after,out_domain,30,3.4103314885563247e-12,2.3058092679078312e-12,0.5,0.18198143141351084,15
after,overall,42,4.185009161191993e-12,2.296702481305825e-12,0.35714285714285715,0.1466703621116114,27
