layer,head,p_faithful,delta
31,11,1.1404978463418364e-12,2.8035817669972892e-14
31,12,1.2262362065339116e-12,1.1377417786204817e-13
31,13,1.0318674396705208e-12,-8.059458900134269e-14
31,14,1.2539458813515683e-12,1.4148385267970483e-13
31,15,1.0704029624737258e-12,-4.2059066198137705e-14
32,0,1.1229891797879635e-12,1.0527151116100025e-14
32,1,1.1090579220365182e-12,-3.4041066353453126e-15
32,2,1.0357640872217894e-12,-7.669794145007408e-14
32,3,1.1490509974673228e-12,3.658896879545935e-14
32,4,1.1113597478236229e-12,-1.1022808482406075e-15
32,5,1.142498095574986e-12,3.003606690312248e-14
32,6,1.1381621356473502e-12,2.5700106975486715e-14
32,7,1.1790018580292178e-12,6.653982935735436e-14
32,8,1.1190231937210103e-12,6.561165049146878e-15
32,9,1.1939889384618243e-12,8.152690978996082e-14
32,10,1.129919295165931e-12,1.745726649406748e-14
32,11,1.2821138438510989e-12,1.696518151792354e-13
32,12,1.1267751567643648e-12,1.431312809250131e-14
32,13,1.0776928784452213e-12,-3.4769150226642213e-14
32,14,1.166919888696201e-12,5.445786002433762e-14
32,15,1.2621706628743823e-12,1.497086342025188e-13
33,0,1.0701560003564842e-12,-4.230602831537925e-14
33,1,1.1081039866053765e-12,-4.358042066486995e-15
33,2,1.1083119786226866e-12,-4.1500500491768225e-15
33,3,1.1552479239432878e-12,4.278589527142437e-14
33,4,1.1287338178066607e-12,1.6271789134797184e-14
33,5,1.1880394462492862e-12,7.55774175774227e-14
33,6,1.1469161388844216e-12,3.4454110212558103e-14
33,7,1.1647247015831857e-12,5.2262672911322253e-14
33,8,1.0322989671164352e-12,-8.016306155542829e-14
33,9,1.1090206463469035e-12,-3.4413823249600035e-15
33,10,1.1514335715812142e-12,3.897154290935071e-14
33,11,1.1506823250248732e-12,3.8220296353009737e-14
33,12,1.1466392654851509e-12,3.41772368132874e-14
33,13,1.1435564402781557e-12,3.109441160629228e-14
33,14,1.2243233333427234e-12,1.1186130467085994e-13
33,15,1.1470453300628247e-12,3.458330139096128e-14
34,0,1.2231316275567105e-12,1.1066959888484698e-13
34,1,1.3056097060505697e-12,1.931476773787062e-13
34,2,1.1156013013147224e-12,3.139272642858887e-15
34,3,1.2252066071000727e-12,1.1274457842820925e-13
34,4,1.1173931689259725e-12,4.931140254109068e-15
34,5,9.955471023428193e-13,-1.1691492632904415e-13
34,6,1.7696559092617975e-12,6.571938805899341e-13
34,7,1.3894750292914197e-12,2.770130006195562e-13
34,8,9.89054507334304e-13,-1.2340752133755945e-13
34,9,1.110195700567766e-12,-2.2663281040974834e-15
34,10,1.1302330172644992e-12,1.7770988592635714e-14
34,11,1.1650758217969353e-12,5.2613793125071796e-14
34,12,1.1102896881027086e-12,-2.1723405691548255e-15
34,13,1.1757613580909682e-12,6.329932941910474e-14
34,14,1.080395416261647e-12,-3.206661241021652e-14
34,15,1.1856764672270095e-12,7.3214438555146e-14
35,0,1.168260052882101e-12,5.579802421023749e-14
35,1,1.111162329144649e-12,-1.2996995272144125e-15
35,2,1.1501605614669127e-12,3.769853279504928e-14
35,3,1.1089855952872271e-12,-3.4764333846363656e-15
35,4,1.1208680824171245e-12,8.406053745261064e-15
35,5,1.1592482013809404e-12,4.6786172709076905e-14
35,6,1.067913802570474e-12,-4.45482261013894e-14
35,7,1.1308162460985191e-12,1.8354217426655645e-14
35,8,9.828876246304382e-13,-1.2957440404142528e-13
35,9,1.130194978554812e-12,1.7732949882948544e-14
35,10,9.020412309932981e-13,-2.1042079767856535e-13
35,11,1.1175224759714244e-12,5.060447299560886e-15
35,12,1.0719476463331186e-12,-4.051438233874488e-14
35,13,9.196404685403733e-13,-1.9282156013149017e-13
35,14,1.1721234923774746e-12,5.96614637056111e-14
35,15,1.1063942461411858e-12,-6.067782530677663e-15
