layer,head,p_faithful,delta
4,13,1.1293533661889163e-12,1.689133751705283e-14
4,14,1.1102248517990646e-12,-2.2371768727988883e-15
4,15,1.2014270395922891e-12,8.896501092042564e-14
5,0,1.1082895946246747e-12,-4.1724340471887505e-15
5,1,1.2237981492971346e-12,1.1133612062527115e-13
5,2,1.128368076408906e-12,1.590604773704248e-14
5,3,1.0527729961305203e-12,-5.96890325413432e-14
5,4,1.2480689213713296e-12,1.3560689269946617e-13
5,5,1.0733770828279451e-12,-3.9084945843918356e-14
5,6,1.1447951135482518e-12,3.233308487638837e-14
5,7,1.1538079790064618e-12,4.13459503345983e-14
5,8,1.0895921698841325e-12,-2.286985878773095e-14
5,9,1.149854610612661e-12,3.7392581940797574e-14
5,10,1.12184812003227e-12,9.386091360406467e-15
5,11,1.1348340185324889e-12,2.237198986062541e-14
5,12,1.1732211271683843e-12,6.07590984965208e-14
5,13,1.1662866673930932e-12,5.3824638721229704e-14
5,14,1.1504711088633064e-12,3.8009080191442906e-14
5,15,1.1584036439804339e-12,4.5941615308570425e-14
6,0,1.2272663915003882e-12,1.1480436282852477e-13
6,1,1.0726535112139689e-12,-3.980851745789457e-14
6,2,1.1342064687795435e-12,2.1744440107680018e-14
6,3,1.1170736951258038e-12,4.61166645394036e-15
6,4,1.3850389315613704e-12,2.7257690288950694e-13
6,5,1.1524739544619916e-12,4.001192579012818e-14
6,6,1.270799669999537e-12,1.5833764132767343e-13
6,7,1.1108753893190772e-12,-1.586639352786298e-15
6,8,1.1287869285742892e-12,1.6324899902425682e-14
6,9,1.2252717360662047e-12,1.128097073943412e-13
6,10,1.1464943945244097e-12,3.403236585254622e-14
6,11,1.2064342245598389e-12,9.397219588797543e-14
6,12,1.0913862225564666e-12,-2.1075806115396903e-14
6,13,1.1906815658232125e-12,7.8219537151349e-14
6,14,1.1306252218962573e-12,1.816319322439379e-14
6,15,1.0710036725315847e-12,-4.145835614027878e-14
7,0,1.1702524011226919e-12,5.779037245082839e-14
7,1,1.0912359904380765e-12,-2.122603823378699e-14
7,2,1.3199178665979772e-12,2.0745583792611376e-13
7,3,1.1163578222762153e-12,3.8957936043517996e-15
7,4,1.1944521964025742e-12,8.199016773071076e-14
7,5,1.096532209633287e-12,-1.5929819038576386e-14
7,6,1.1794049693792537e-12,6.69429407073902e-14
7,7,1.2326714531502633e-12,1.2020942447839984e-13
7,8,1.1964112110228291e-12,8.394918235096567e-14
7,9,1.204173497545241e-12,9.17114688733776e-14
7,10,1.140711350589281e-12,2.824932191741756e-14
7,11,1.2186321098985501e-12,1.0617008122668666e-13
7,12,1.1432141207710758e-12,3.0752092099212294e-14
7,13,1.264281274046975e-12,1.5181924537511145e-13
7,14,1.1274986053531078e-12,1.503657668124434e-14
7,15,1.157380545781915e-12,4.4918517110051557e-14
8,0,1.1641063879194075e-12,5.164435924754407e-14
8,1,1.102094023378737e-12,-1.036800529312646e-14
8,2,1.1087381655671487e-12,-3.723863104714786e-15
8,3,1.059545569327806e-12,-5.2916459344057484e-14
8,4,1.330880789598919e-12,2.1841876092705557e-13
8,5,1.2786735982711391e-12,1.6621156959927564e-13
8,6,1.1747180933583132e-12,6.225606468644973e-14
8,7,1.1594106004532687e-12,4.69485717814052e-14
8,8,1.0975776419966763e-12,-1.4884386675187173e-14
8,9,1.1715329556664952e-12,5.907092699463174e-14
8,10,1.1161454657284781e-12,3.683437056614638e-15
8,11,1.1460966917359316e-12,3.3634663064068106e-14
8,12,1.3620161445635585e-12,2.49554115891695e-13
8,13,1.107543268405836e-12,-4.91876026602754e-15
8,14,1.0051029602196013e-12,-1.0735906845226216e-13
8,15,1.0614782859292832e-12,-5.098374274258024e-14
9,0,1.2447305670566028e-12,1.322685383847393e-13
9,1,1.1396949449036425e-12,2.7232916231779028e-14
9,2,1.1864424649314525e-12,7.398043625958906e-14
9,3,1.011102972274717e-12,-1.0135905639714641e-13
9,4,1.1917765021603187e-12,7.931447348845521e-14
9,5,1.1305943351694473e-12,1.8132306497583844e-14
9,6,1.084032756537726e-12,-2.8429272134137546e-14
9,7,1.147310027166531e-12,3.4847998494667453e-14
9,8,1.1454623499008789e-12,3.3000321229015406e-14
9,9,9.458687758117412e-13,-1.6659325286012223e-13
9,10,1.1456815489877954e-12,3.321952031593192e-14
9,11,1.1311003742149237e-12,1.863834554306025e-14
9,12,1.0729398105338977e-12,-3.95222181379658e-14
9,13,1.1339977484661e-12,2.153571979423644e-14
9,14,1.1412605729219452e-12,2.879854425008178e-14
9,15,1.0961794219778295e-12,-1.6282606694033923e-14
10,0,1.0826909635333082e-12,-2.977106513855529e-14
10,1,1.1886501891593668e-12,7.618816048750335e-14
10,2,1.1090864712974461e-12,-3.3755573744173344e-15
10,3,1.0477548558086786e-12,-6.47071728631849e-14
10,4,1.112457513264323e-12,-4.515407540438549e-18
10,5,1.1626108247629824e-12,5.0148796091118895e-14
10,6,1.1835133566129657e-12,7.10513279411022e-14
10,7,1.1019259265048423e-12,-1.0536102167021196e-14
10,8,9.184644261248047e-13,-1.9399760254705875e-13
10,9,1.1521878039857301e-12,3.9725775313866633e-14
10,10,1.1352220011590877e-12,2.27599724872242e-14
10,11,1.151895861732622e-12,3.9433833060758496e-14
10,12,1.2053992658382518e-12,9.293723716638835e-14
10,13,1.1619379268049523e-12,4.9475898133088863e-14
10,14,1.1556320131750668e-12,4.31699845032033e-14
10,15,1.082700940880923e-12,-2.976108779094047e-14
11,0,1.199763522854861e-12,8.730149418299744e-14
11,1,1.146163485562653e-12,3.37014568907895e-14
11,2,1.1979243300919878e-12,8.546230142012435e-14
11,3,1.0449714444218136e-12,-6.749058425004987e-14
11,4,1.0976899087748813e-12,-1.4772119896982206e-14
11,5,1.0822834608739363e-12,-3.017856779792719e-14
11,6,1.1464645655438578e-12,3.400253687199433e-14
11,7,1.0743176572722978e-12,-3.81443713995657e-14
11,8,1.1128007279995165e-12,3.3869932765305113e-16
11,9,1.1041659835266297e-12,-8.296045145233785e-15
11,10,1.185481863231902e-12,7.301983456003848e-14
11,11,1.1985051665911088e-12,8.604313791924536e-14
11,12,1.1215100762599055e-12,9.048047588042037e-15
11,13,1.2039764448957365e-12,9.151441622387301e-14
11,14,1.1735377671835895e-12,6.107573851172604e-14
11,15,1.0707368869865318e-12,-4.172514168533163e-14
12,0,1.2797454489650713e-12,1.6728342029320785e-13
12,1,1.1793136689012988e-12,6.68516402294353e-14
12,2,1.1809404508842679e-12,6.847842221240439e-14
12,3,1.0607445019012388e-12,-5.171752677062462e-14
12,4,1.0865976753873082e-12,-2.5864353284555225e-14
12,5,1.1713945771997446e-12,5.893254852788113e-14
12,6,1.067565835824464e-12,-4.4896192847399503e-14
12,7,1.0667630582273399e-12,-4.569897044452362e-14
12,8,1.1552558528116757e-12,4.2793824139812184e-14
12,9,1.0713279968407164e-12,-4.113403183114704e-14
12,10,1.1231527143785434e-12,1.0690685706679925e-14
12,11,1.1997496182938163e-12,8.728758962195288e-14
12,12,1.1484235233564992e-12,3.596149468463577e-14
12,13,1.092949754336497e-12,-1.9512274335366522e-14
12,14,1.2120186204166812e-12,9.955659174481775e-14
12,15,1.123252823138882e-12,1.0790794467018624e-14
13,0,1.0838678923345083e-12,-2.859413633735519e-14
13,1,1.1459831172274038e-12,3.3521088555540284e-14
13,2,1.088902583026588e-12,-2.3559445645275392e-14
13,3,1.1547466509360358e-12,4.228462226417236e-14
13,4,1.0792358132565758e-12,-3.322621541528769e-14
13,5,1.1149487068227798e-12,2.4866781509163637e-15
13,6,1.2196736915861924e-12,1.0721166291432889e-13
13,7,1.2381646126666873e-12,1.257025839948238e-13
13,8,1.2307223083929868e-12,1.1826027972112335e-13
13,9,1.078142646973799e-12,-3.431938169806456e-14
13,10,1.0072829713120948e-12,-1.0517905735976864e-13
13,11,1.1191412619107468e-12,6.6792332388833726e-15
13,12,1.1283205771163841e-12,1.585854844452065e-14
13,13,1.1341936146556314e-12,2.1731585983767897e-14
13,14,1.1104879019297654e-12,-1.9741267420981067e-15
13,15,1.0238021724423018e-12,-8.865985622956168e-14
14,0,1.219363936979235e-12,1.0690190830737163e-13
14,1,1.164858971688364e-12,5.239694301650053e-14
14,2,1.0104139469080027e-12,-1.0204808176386077e-13
14,3,1.1587092668095175e-12,4.6247238137654016e-14
14,4,1.041133947460804e-12,-7.132808121105947e-14
14,5,1.148531589497905e-12,3.606956082604152e-14
14,6,1.2124147218266643e-12,9.995269315480087e-14
14,7,1.4036698372850733e-12,2.9120780861320985e-13
14,8,1.1455631780335688e-12,3.310114936170534e-14
14,9,1.0608043096220532e-12,-5.165771904981026e-14
14,10,1.0326547354657084e-12,-7.98072932061551e-14
14,11,1.0816003718396316e-12,-3.086165683223183e-14
14,12,1.0888362488340395e-12,-2.362577983782393e-14
14,13,1.0546019462142834e-12,-5.786008245758006e-14
14,14,1.2521533593742793e-12,1.3969133070241587e-13
14,15,1.1656050716807105e-12,5.3143043008847033e-14
15,0,8.108768657458811e-13,-3.0158516292598233e-13
15,1,1.2950856438383201e-12,1.8262361516645664e-13
15,2,1.1090370592337364e-12,-3.4249694381270685e-15
15,3,1.1856332501533539e-12,7.317122148149041e-14
15,4,1.1753015049967276e-12,6.283947632486411e-14
15,5,1.0593172688558e-12,-5.31447598160635e-14
15,6,1.3148650857491907e-12,2.024030570773272e-13
15,7,1.1965729663195512e-12,8.411093764768775e-14
15,8,1.109184130982392e-12,-3.277897689471455e-15
15,9,1.0220419923298271e-12,-9.042003634203636e-14
15,10,1.175813184960214e-12,6.33511562883506e-14
15,11,1.3596690811955106e-12,2.472070525236471e-13
15,12,1.2268881908514275e-12,1.14426162179564e-13
15,13,1.353581063364415e-12,2.4111903469255156e-13
15,14,8.849579145096633e-13,-2.275041141622002e-13
15,15,1.00754410633691e-12,-1.0491792233495345e-13
16,0,9.966971774675322e-13,-1.1576485120433123e-13
16,1,1.146022795357701e-12,3.3560766685837576e-14
16,2,7.593588627513706e-13,-3.531031659204929e-13
16,3,1.3800091911425381e-12,2.6754716247067465e-13
16,4,1.4490040619056298e-12,3.3654203323376637e-13
16,5,1.061700139845601e-12,-5.0761888826262496e-14
16,6,8.915792159788266e-13,-2.2088281269303689e-13
16,7,1.0758636438522926e-12,-3.659838481957085e-14
16,8,1.1352732228125785e-12,2.281119414071507e-14
16,9,8.929673861118332e-13,-2.1949464256003027e-13
16,10,8.996449723376913e-13,-2.128170563341722e-13
16,11,1.2288466534882298e-12,1.163846248163663e-13
16,12,1.1222399484093459e-12,9.777919737482394e-15
16,13,1.0339957415607623e-12,-7.846628711110116e-14
16,14,1.8756229160687388e-12,7.631608873968753e-13
16,15,1.106959251525512e-12,-5.5027771463514445e-15
17,0,1.1423204374243794e-12,2.985840875251592e-14
17,1,9.822921653279289e-13,-1.3016986334393462e-13
17,2,9.660440516828871e-13,-1.4641797698897632e-13
17,3,1.0053937835629838e-12,-1.0706824510887969e-13
17,4,1.2783164184930303e-12,1.658543898211668e-13
17,5,1.4869011977377993e-12,3.7443916906593583e-13
17,6,1.1303785295435686e-12,1.791650087170517e-14
17,7,1.2997642729523745e-12,1.8730224428051106e-13
17,8,1.184564625394485e-12,7.210259672262151e-14
17,9,1.1814552879065603e-12,6.899325923469681e-14
17,10,1.1685546633715535e-12,5.609263469969002e-14
17,11,1.1264557294501709e-12,1.3993700778307425e-14
17,12,1.1554041254740644e-12,4.294209680220095e-14
17,13,1.1927863486878265e-12,8.032432001596305e-14
17,14,1.1340239432867695e-12,2.1561914614906e-14
17,15,1.189797508682337e-12,7.733548001047346e-14
18,0,1.1243933136194245e-12,1.1931284947561016e-14
18,1,1.0285808425093122e-12,-8.388118616255126e-14
18,2,1.2938098818207977e-12,1.8134785314893422e-13
18,3,1.3178359396412233e-12,2.0537391096935983e-13
18,4,1.1982890848447787e-12,8.582705617291525e-14
18,5,1.28160108807573e-12,1.691390594038665e-13
18,6,1.1878357064983958e-12,7.537367782653231e-14
18,7,1.191159207520032e-12,7.869717884816845e-14
18,8,1.1415220230798853e-12,2.905999440802185e-14
18,9,1.2842776862704125e-12,1.7181565759854904e-13
18,10,1.0731003899711633e-12,-3.93616387007002e-14
18,11,1.37439780287164e-12,2.6193577419977645e-13
18,12,1.2906501757373554e-12,1.7818814706549197e-13
18,13,1.147729154833792e-12,3.5267126161928516e-14
18,14,9.579147767833778e-13,-1.5454725188848566e-13
18,15,1.2880540902569093e-12,1.755920615850458e-13
19,0,1.4825093259127713e-12,3.7004729724090785e-13
19,1,1.409074410706166e-12,2.9661238203430257e-13
19,2,1.190626383451223e-12,7.816435477935954e-14
19,3,1.2208125542742359e-12,1.0835052560237241e-13
19,4,1.1487745462118787e-12,3.631251754001522e-14
19,5,1.2331168403713003e-12,1.2065481169943684e-13
19,6,9.846460189062927e-13,-1.278160097655708e-13
19,7,1.1613810770111843e-12,4.8919048339320834e-14
19,8,1.182310266134411e-12,6.98482374625476e-14
19,9,1.0785010205537783e-12,-3.396100811808519e-14
19,10,1.086591521286131e-12,-2.587050738573237e-14
19,11,1.3560040451431444e-12,2.4354201647128093e-13
19,12,1.1996294593554508e-12,8.716743068358732e-14
19,13,1.264749487332456e-12,1.5228745866059262e-13
19,14,1.3230232382713403e-12,2.105612095994768e-13
19,15,1.239592279203295e-12,1.2713025053143146e-13
20,0,1.029519843367178e-12,-8.294218530468537e-14
20,1,1.118397668334583e-12,5.93563966271963e-15
20,2,1.173490461796699e-12,6.102843312483545e-14
20,3,1.2063040494521452e-12,9.384202078028178e-14
20,4,1.1833661983951029e-12,7.09041697232394e-14
20,5,1.202853843596003e-12,9.039181492413944e-14
20,6,1.2412830260366985e-12,1.2882099736483503e-13
20,7,1.116329992060548e-12,3.867963388684498e-15
20,8,7.488299273431935e-13,-3.6363210132867e-13
20,9,1.1447814174030043e-12,3.2319388731140866e-14
20,10,1.1530705413673436e-12,4.06085126954801e-14
20,11,1.513357595319316e-12,4.008955666474526e-13
20,12,1.3211418907638078e-12,2.086798620919443e-13
20,13,1.1650995051668069e-12,5.263747649494339e-14
20,14,1.1216295016589154e-12,9.167472987051947e-15
20,15,1.0855235948763062e-12,-2.6938433795557244e-14
21,0,1.2583578217230748e-12,1.4589579305121132e-13
21,1,1.0196952712125632e-12,-9.276675745930025e-14
21,2,1.176124378620373e-12,6.366234994850952e-14
21,3,1.3296471257992114e-12,2.1718509712734795e-13
21,4,1.2539433209282118e-12,1.4148129225634835e-13
21,5,1.1743022098842764e-12,6.184018121241293e-14
21,6,1.1947127664340403e-12,8.225073776217687e-14
21,7,1.2308232110034435e-12,1.1836118233158004e-13
21,8,1.1664575787063236e-12,5.39955500344601e-14
21,9,9.581676399352627e-13,-1.5429438873660074e-13
21,10,1.287129028420905e-12,1.7466699974904155e-13
21,11,1.3924370720492652e-12,2.7997504337740173e-13
21,12,1.0435747589187986e-12,-6.88872697530649e-14
21,13,1.2003343006064377e-12,8.787227193457428e-14
21,14,1.2591702947419725e-12,1.46708266070109e-13
21,15,1.2034141551103834e-12,9.095212643851994e-14
22,0,1.5198408726543919e-12,4.073788439825284e-13
22,1,9.086714960156268e-13,-2.0379053265623671e-13
22,2,1.32737373663782e-12,2.149117079659566e-13
22,3,1.7730140059563915e-12,6.60551977284528e-13
